THIS IS THE DATABASE FOR ALL THE PROBABILITY OF POKER COMBINATIONS
 1       0.769981
 2       0.584177
 3       0.593359
 4       0.609418
 5       0.619584
 6       0.633509
 7       0.646881
 8       0.662231
 9       0.675698
10       0.692996
11       0.709934
12       0.730313
13       0.749850
 1  2     0.535300
 1  3     0.536744
 1  4     0.544814
 1  5     0.548219
 1  6     0.545633
 1  7     0.551630
 1  8     0.549112
 1  9     0.558122
 1 10     0.570148
 1 11     0.566580
 1 12     0.576197
 1 13     0.573899
 2  3     0.478088
 2  4     0.497863
 2  5     0.493993
 2  6     0.487828
 2  7     0.476869
 2  8     0.490828
 2  9     0.499037
 2 10     0.502859
 2 11     0.502434
 2 12     0.505221
 2 13     0.502131
 3  4     0.497100
 3  5     0.502696
 3  6     0.494547
 3  7     0.491544
 3  8     0.497469
 3  9     0.498058
 3 10     0.499314
 3 11     0.503196
 3 12     0.509644
 3 13     0.516923
 4  5     0.512792
 4  6     0.520524
 4  7     0.512282
 4  8     0.492378
 4  9     0.499739
 4 10     0.502079
 4 11     0.506465
 4 12     0.511241
 4 13     0.534042
 5  6     0.521196
 5  7     0.524436
 5  8     0.520473
 5  9     0.517777
 5 10     0.506073
 5 11     0.517744
 5 12     0.525022
 5 13     0.531555
 6  7     0.534140
 6  8     0.542109
 6  9     0.522478
 6 10     0.518530
 6 11     0.515055
 6 12     0.531286
 6 13     0.534729
 7  8     0.539940
 7  9     0.542597
 7 10     0.533248
 7 11     0.531468
 7 12     0.529849
 7 13     0.535675
 8  9     0.551635
 8 10     0.540019
 8 11     0.536112
 8 12     0.540054
 8 13     0.533992
 9 10     0.554477
 9 11     0.554721
 9 12     0.544377
 9 13     0.548033
10 11     0.562889
10 12     0.557245
10 13     0.561325
11 12     0.557495
11 13     0.566336
12 13     0.570739
 1 15     0.500796
 1 16     0.513352
 1 17     0.517305
 1 18     0.527385
 1 19     0.512545
 1 20     0.523663
 1 21     0.523066
 1 22     0.531581
 1 23     0.543301
 1 24     0.540579
 1 25     0.543379
 1 26     0.547747
 2 16     0.452710
 2 17     0.453731
 2 18     0.466324
 2 19     0.452660
 2 20     0.454881
 2 21     0.459253
 2 22     0.463849
 2 23     0.473385
 2 24     0.476909
 2 25     0.479420
 2 26     0.484806
 3 17     0.472858
 3 18     0.478983
 3 19     0.472052
 3 20     0.470757
 3 21     0.463733
 3 22     0.468675
 3 23     0.476057
 3 24     0.480618
 3 25     0.480496
 3 26     0.487044
 4 18     0.491242
 4 19     0.485564
 4 20     0.485186
 4 21     0.473216
 4 22     0.475286
 4 23     0.489777
 4 24     0.490904
 4 25     0.495165
 4 26     0.500538
 5 19     0.501423
 5 20     0.496925
 5 21     0.491507
 5 22     0.488269
 5 23     0.482387
 5 24     0.491560
 5 25     0.496283
 5 26     0.500035
 6 20     0.506038
 6 21     0.511742
 6 22     0.505493
 6 23     0.498037
 6 24     0.495776
 6 25     0.497788
 6 26     0.500954
 7 21     0.515482
 7 22     0.515305
 7 23     0.511793
 7 24     0.501718
 7 25     0.502263
 7 26     0.512690
 8 22     0.529723
 8 23     0.517519
 8 24     0.513351
 8 25     0.512429
 8 26     0.510199
 9 23     0.531043
 9 24     0.524764
 9 25     0.528841
 9 26     0.521870
10 24     0.543636
10 25     0.540195
10 26     0.532390
11 25     0.540224
11 26     0.537568
12 26     0.541912
